Date,Open,High,Low,Close,Adj Close,Volume
11/10/2019,7186.399902,7250.100098,7144.700195,7247.100098,7247.100098,1507692000
14/10/2019,7247.100098,7251.799805,7194.200195,7213.5,7213.5,780579200
15/10/2019,7213.5,7242.399902,7176.700195,7211.600098,7211.600098,1123687400
16/10/2019,7211.600098,7217.600098,7149.799805,7168,7168,1000484300
17/10/2019,7168,7237.799805,7162,7182.299805,7182.299805,1126096700
18/10/2019,7182.299805,7197.100098,7146.100098,7150.600098,7150.600098,869346100
21/10/2019,7150.600098,7197.5,7139.399902,7163.600098,7163.600098,853632700
22/10/2019,7163.600098,7230.200195,7146.700195,7212.5,7212.5,800741400
23/10/2019,7212.5,7265.899902,7194.100098,7260.700195,7260.700195,764933300
24/10/2019,7260.700195,7338.899902,7255.5,7328.299805,7328.299805,733646100
25/10/2019,7328.299805,7331.200195,7279.799805,7324.5,7324.5,580305100
28/10/2019,7324.5,7346.899902,7291.600098,7331.299805,7331.299805,676041800
29/10/2019,7331.299805,7335.700195,7264.700195,7306.299805,7306.299805,710020700
30/10/2019,7306.299805,7334,7278.200195,7330.799805,7330.799805,672191900
31/10/2019,7330.799805,7335.200195,7245.200195,7248.399902,7248.399902,847657500
1/11/2019,7248.399902,7307.200195,7248.399902,7302.399902,7302.399902,582078600
4/11/2019,7302.399902,7392.700195,7302.399902,7369.700195,7369.700195,582661700
5/11/2019,7369.700195,7402.799805,7369.600098,7388.100098,7388.100098,673186900
6/11/2019,7388.100098,7398.799805,7363.600098,7396.700195,7396.700195,618514700
7/11/2019,7396.700195,7431.899902,7396,7406.399902,7406.399902,668773400
8/11/2019,7406.399902,7406.799805,7349.100098,7359.399902,7359.399902,551986100
11/11/2019,7359.399902,7359.399902,7258.5,7328.5,7328.5,828425100
12/11/2019,7328.5,7390,7328.200195,7365.399902,7365.399902,754644000
13/11/2019,7365.399902,7365.399902,7301.700195,7351.200195,7351.200195,695720800
14/11/2019,7351.200195,7351.299805,7292.799805,7292.799805,7292.799805,675226500
15/11/2019,7292.799805,7335.600098,7243.200195,7302.899902,7302.899902,770473200
18/11/2019,7302.899902,7335.399902,7293.399902,7307.700195,7307.700195,764459700
19/11/2019,7307.700195,7404.5,7307.700195,7323.799805,7323.799805,605672300
20/11/2019,7323.799805,7323.799805,7219.100098,7262.5,7262.5,814232500
21/11/2019,7262.5,7262.5,7197.299805,7238.600098,7238.600098,608185000
22/11/2019,7238.600098,7343.299805,7238.5,7326.799805,7326.799805,611242800
25/11/2019,7326.799805,7401.799805,7326.799805,7396.299805,7396.299805,570982800
26/11/2019,7396.299805,7421.299805,7385,7403.100098,7403.100098,1058651500
27/11/2019,7403.100098,7446,7400.399902,7429.799805,7429.799805,626246700
28/11/2019,7429.799805,7429.799805,7385.299805,7416.399902,7416.399902,605369500
29/11/2019,7416.399902,7421.399902,7346.5,7346.5,7346.5,627336500
2/12/2019,7346.5,7400.299805,7277,7285.899902,7285.899902,928558400
3/12/2019,7285.899902,7285.899902,7134.899902,7158.799805,7158.799805,824932200
4/12/2019,7158.799805,7190,7139.899902,7188.5,7188.5,688011100
5/12/2019,7188.5,7194.799805,7131.200195,7137.899902,7137.899902,650618500
6/12/2019,7137.899902,7241.5,7137.899902,7239.700195,7239.700195,516373000
9/12/2019,7239.700195,7255.700195,7217.799805,7233.899902,7233.899902,619399300
10/12/2019,7233.899902,7234.399902,7137.799805,7213.799805,7213.799805,703527300
11/12/2019,7213.799805,7250.700195,7195.5,7216.299805,7216.299805,820837400
12/12/2019,7216.299805,7307.399902,7216.100098,7273.5,7273.5,727087300
13/12/2019,7273.5,7429,7223.399902,7353.399902,7353.399902,1906667700
16/12/2019,7353.399902,7552.700195,7353.200195,7519.100098,7519.100098,1045291600
17/12/2019,7519.100098,7537.700195,7497.200195,7525.299805,7525.299805,1096514900
18/12/2019,7525.299805,7557.100098,7515.200195,7540.799805,7540.799805,679287600
19/12/2019,7540.799805,7575.899902,7526.100098,7573.799805,7573.799805,661933000
20/12/2019,7573.799805,7599.5,7564.600098,7582.5,7582.5,1159724000
23/12/2019,7582.5,7628.200195,7559.600098,7623.600098,7623.600098,539145700
24/12/2019,7623.600098,7636.200195,7608.200195,7632.200195,7632.200195,185671600
27/12/2019,7632.200195,7665.399902,7622.5,7644.899902,7644.899902,311117100
30/12/2019,7644.899902,7644.899902,7587.100098,7587.100098,7587.100098,304247900
31/12/2019,7587.100098,7587.399902,7532.399902,7542.399902,7542.399902,212142200
2/1/2020,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700
3/1/2020,7604.299805,7626.399902,7551,7622.399902,7622.399902,475628900
6/1/2020,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400
7/1/2020,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100
8/1/2020,7573.899902,7579.5,7525,7574.899902,7574.899902,606225000
9/1/2020,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100
10/1/2020,7598.100098,7632,7585.100098,7587.899902,7587.899902,651315600
13/1/2020,7587.899902,7635.799805,7582.5,7617.600098,7617.600098,659019400
14/1/2020,7617.600098,7650.700195,7588.799805,7622.399902,7622.399902,697648200
15/1/2020,7622.399902,7642.799805,7609.399902,7642.799805,7642.799805,730575200
16/1/2020,7642.799805,7653.600098,7595.299805,7609.799805,7609.799805,573564200
17/1/2020,7609.799805,7689.700195,7609.799805,7674.600098,7674.600098,631970100
20/1/2020,7674.600098,7682.799805,7639.600098,7651.399902,7651.399902,358980900
21/1/2020,7651.399902,7651.399902,7550.5,7610.700195,7610.700195,656519300
22/1/2020,7610.700195,7637.399902,7563.5,7571.899902,7571.899902,604636000
23/1/2020,7571.899902,7572.100098,7503.200195,7507.700195,7507.700195,668616300
24/1/2020,7507.700195,7642.200195,7507.600098,7586,7586,605760000
27/1/2020,7586,7586,7392.799805,7412.100098,7412.100098,679457100
28/1/2020,7412.100098,7491.399902,7410.399902,7480.700195,7480.700195,535852000
29/1/2020,7480.700195,7514.700195,7462.200195,7483.600098,7483.600098,525036700
30/1/2020,7483.600098,7483.600098,7357.600098,7382,7382,685501900
31/1/2020,7382,7398.299805,7275,7286,7286,714049600
3/2/2020,7286,7360,7285.200195,7326.299805,7326.299805,645846700
4/2/2020,7326.299805,7442.100098,7326.299805,7439.799805,7439.799805,696703600
5/2/2020,7439.799805,7512.399902,7408.5,7482.5,7482.5,818911400
6/2/2020,7482.5,7533.600098,7482.5,7504.799805,7504.799805,673947900
7/2/2020,7504.799805,7506.299805,7441.100098,7466.700195,7466.700195,705974200
10/2/2020,7466.700195,7466.700195,7427.899902,7446.899902,7446.899902,612817500
11/2/2020,7446.899902,7529.5,7446.899902,7499.399902,7499.399902,700689800
12/2/2020,7499.399902,7547.700195,7499,7534.399902,7534.399902,573044200
13/2/2020,7534.399902,7534.399902,7406.899902,7452,7452,823565400
14/2/2020,7452,7472.899902,7403.700195,7409.100098,7409.100098,629855000
17/2/2020,7409.100098,7450,7409.100098,7433.299805,7433.299805,394565700
18/2/2020,7433.299805,7433.299805,7353.399902,7382,7382,786827200
19/2/2020,7382,7462,7382,7457,7457,602975900
20/2/2020,7457,7480.5,7436.600098,7436.600098,7436.600098,780481500
21/2/2020,7436.600098,7436.700195,7370.600098,7403.899902,7403.899902,872594700
24/2/2020,7403.899902,7403.899902,7114.5,7156.799805,7156.799805,1081479400
25/2/2020,7156.799805,7198.200195,7004.899902,7017.899902,7017.899902,976469000
26/2/2020,7017.899902,7044.700195,6871.899902,7042.5,7042.5,982409600
27/2/2020,7042.5,7042.5,6730,6796.399902,6796.399902,1224827000
28/2/2020,6796.399902,6796.399902,6460.100098,6580.600098,6580.600098,1979835300
2/3/2020,6580.600098,6775.200195,6496,6654.899902,6654.899902,1770844200
3/3/2020,6654.899902,6846.299805,6654.899902,6718.200195,6718.200195,1277190200
4/3/2020,6718.200195,6856.299805,6700.200195,6815.600098,6815.600098,1115783100
5/3/2020,6815.600098,6834.100098,6662.600098,6705.399902,6705.399902,1146893100
6/3/2020,6705.399902,6705.399902,6431.399902,6462.600098,6462.600098,1377953500
9/3/2020,6462.600098,6462.600098,5891.600098,5965.799805,5965.799805,2098798700
10/3/2020,5965.799805,6231.100098,5927.899902,5960.200195,5960.200195,1729622400
11/3/2020,5960.200195,6088.5,5860.799805,5876.5,5876.5,1507518600
12/3/2020,5876.5,5876.5,5237.5,5237.5,5237.5,2209275500
13/3/2020,5237.5,5696.5,5237.5,5366.100098,5366.100098,1935105000
16/3/2020,5366.100098,5366.100098,4898.799805,5151.100098,5151.100098,2111567500
17/3/2020,5151.100098,5309,4978.799805,5294.899902,5294.899902,1941164900
18/3/2020,5294.899902,5294.899902,5006.200195,5080.600098,5080.600098,1837075100
19/3/2020,5080.600098,5181,4942.399902,5151.600098,5151.600098,1963412200
20/3/2020,5151.600098,5419.299805,5151.600098,5190.799805,5190.799805,2585565700
23/3/2020,5190.799805,5194.799805,4922.799805,4993.899902,4993.899902,1629604900
24/3/2020,4993.899902,5446,4993.899902,5446,5446,1582421000
25/3/2020,5446,5741.399902,5400.5,5688.200195,5688.200195,1860995600
26/3/2020,5688.200195,5815.700195,5503.399902,5815.700195,5815.700195,1536739000
27/3/2020,5815.700195,5815.700195,5407.100098,5510.299805,5510.299805,1457210400
30/3/2020,5510.299805,5567.200195,5351.799805,5563.700195,5563.700195,1136875400
31/3/2020,5563.700195,5702.700195,5545.899902,5672,5672,1602112800
1/4/2020,5672,5672,5414.700195,5454.600098,5454.600098,1670362100
2/4/2020,5454.600098,5552.399902,5395.100098,5480.200195,5480.200195,1554286900
3/4/2020,5480.200195,5486.299805,5396.700195,5415.5,5415.5,1180517400
6/4/2020,5415.5,5590.600098,5415.5,5582.399902,5582.399902,1207951800
7/4/2020,5582.399902,5780.200195,5582.399902,5704.5,5704.5,1563928500
8/4/2020,5704.5,5704.5,5589.700195,5677.700195,5677.700195,1133735000
9/4/2020,5677.700195,5842.700195,5677.700195,5842.700195,5842.700195,1290301300
14/4/2020,5842.700195,5894.700195,5779,5791.299805,5791.299805,1056846100
15/4/2020,5791.299805,5791.700195,5576.399902,5597.700195,5597.700195,1375971300
16/4/2020,5597.700195,5657.600098,5577.799805,5628.399902,5628.399902,1073687700
17/4/2020,5628.399902,5839.299805,5628.399902,5787,5787,1204085900
20/4/2020,5787,5823.899902,5707.700195,5812.799805,5812.799805,822613800
21/4/2020,5812.799805,5812.799805,5641,5641,5641,888662400
22/4/2020,5641,5777.100098,5641,5770.600098,5770.600098,866999300
23/4/2020,5770.600098,5843.600098,5735.899902,5826.600098,5826.600098,882116400
24/4/2020,5826.600098,5827.200195,5728.799805,5752.200195,5752.200195,808821600
27/4/2020,5752.200195,5855.600098,5752.200195,5846.799805,5846.799805,792246400
28/4/2020,5846.799805,5977.799805,5835.899902,5958.5,5958.5,1196850700
29/4/2020,5958.5,6129.600098,5950.799805,6115.299805,6115.299805,1288097400
30/4/2020,6115.299805,6151.600098,5897.899902,5901.200195,5901.200195,1933348900
1/5/2020,5901.200195,5901.200195,5746.100098,5763.100098,5763.100098,781328900
4/5/2020,5763.100098,5792.899902,5702,5753.799805,5753.799805,1038977200
5/5/2020,5753.799805,5869.5,5753.799805,5849.399902,5849.399902,969041200
6/5/2020,5849.399902,5897.399902,5839.600098,5853.799805,5853.799805,973242800
7/5/2020,5853.799805,5941.899902,5853.600098,5936,5936,967707400
11/5/2020,5936,5999.100098,5898.299805,5939.700195,5939.700195,1041393600
12/5/2020,5939.700195,6013,5911.399902,5994.799805,5994.799805,939767700
13/5/2020,5994.799805,5994.799805,5893.399902,5904.100098,5904.100098,1055705500
14/5/2020,5904.100098,5904.100098,5661.100098,5741.5,5741.5,1152459900
15/5/2020,5741.5,5837.899902,5741.5,5799.799805,5799.799805,927433300
18/5/2020,5799.799805,6058.200195,5799.600098,6048.600098,6048.600098,930325200
19/5/2020,6048.600098,6112,5965.100098,6002.200195,6002.200195,1001641500
20/5/2020,6002.200195,6074.5,5961.600098,6067.200195,6067.200195,925383600
21/5/2020,6067.200195,6093.700195,6004.100098,6015.299805,6015.299805,1135941900
22/5/2020,6015.299805,6015.299805,5888.600098,5993.299805,5993.299805,986007000
26/5/2020,5993.299805,6130.100098,5993.299805,6067.799805,6067.799805,1252539600
27/5/2020,6067.799805,6168,6067.799805,6144.299805,6144.299805,1559401400
28/5/2020,6144.299805,6234,6144.299805,6218.799805,6218.799805,1210102000
29/5/2020,6218.799805,6218.799805,6060.200195,6076.600098,6076.600098,2246313300
1/6/2020,6076.600098,6179.299805,6076.600098,6166.399902,6166.399902,742112200
2/6/2020,6166.399902,6238.299805,6165.100098,6220.100098,6220.100098,1192259900
3/6/2020,6220.100098,6394.700195,6220.100098,6382.399902,6382.399902,1232836600
4/6/2020,6382.399902,6402.600098,6314.600098,6341.399902,6341.399902,1041769100
5/6/2020,6341.399902,6490,6341.399902,6484.299805,6484.299805,1398374600
8/6/2020,6484.299805,6511.799805,6423.100098,6472.600098,6472.600098,1305560800
9/6/2020,6472.600098,6475,6325.100098,6335.700195,6335.700195,1322614400
10/6/2020,6335.700195,6387.399902,6293.799805,6329.100098,6329.100098,1115769600
11/6/2020,6329.100098,6329.100098,6076.700195,6076.700195,6076.700195,1117426600
12/6/2020,6076.700195,6184.299805,5993.200195,6105.200195,6105.200195,1059920700
15/6/2020,6105.200195,6105.200195,5952.399902,6064.700195,6064.700195,907815700
16/6/2020,6064.700195,6299,6064.700195,6242.799805,6242.799805,1028926100
17/6/2020,6242.799805,6309.700195,6233.200195,6253.299805,6253.299805,863307200
18/6/2020,6253.299805,6285,6184.899902,6224.100098,6224.100098,782893800
19/6/2020,6224.100098,6319.799805,6224.100098,6292.600098,6292.600098,1685754500
22/6/2020,6292.600098,6309,6225.5,6244.600098,6244.600098,793214300
23/6/2020,6244.600098,6342.200195,6244.600098,6320.100098,6320.100098,685327800
24/6/2020,6320.100098,6320.100098,6123.700195,6123.700195,6123.700195,768655700
25/6/2020,6123.700195,6162.399902,6029.299805,6147.100098,6147.100098,813511600
26/6/2020,6147.100098,6262.100098,6147.100098,6159.299805,6159.299805,698906500
29/6/2020,6159.299805,6252,6123,6225.799805,6225.799805,720430800
30/6/2020,6225.799805,6237.5,6147,6169.700195,6169.700195,827284200
1/7/2020,6169.700195,6202,6084.5,6158,6158,724502100
2/7/2020,6158,6258.600098,6158,6240.399902,6240.399902,806189500
3/7/2020,6240.399902,6262.700195,6137.100098,6157.299805,6157.299805,504568000
6/7/2020,6157.299805,6304.200195,6157.299805,6285.899902,6285.899902,697122600
7/7/2020,6285.899902,6285.899902,6180,6189.899902,6189.899902,600362300
8/7/2020,6189.899902,6208.399902,6144.5,6156.200195,6156.200195,625796600
